County,Population,Ave_Deaths,DeathRate,AgeAdjusted,Lower95,Upper95
Alameda,1637176.00,9906.30,605.10,565.30,553.90,576.60
Alpine,1128.00,11.00,975.20,835.90,417.30,1495.60
Amador,37181.00,433.30,1165.50,652.00,586.20,717.80
Butte,224761.00,2352.70,1046.70,789.40,756.20,822.60
Calaveras,44747.00,496.00,1108.50,638.40,576.30,700.50
Colusa,22428.00,164.00,731.20,678.60,572.60,784.70
Contra Costa,1129332.00,7843.70,694.50,587.20,574.00,600.50
Del Norte,26956.00,305.30,1132.70,888.10,785.90,990.30
El Dorado,184085.00,1561.30,848.20,625.90,593.60,658.20
Fresno,988072.00,6794.30,687.60,730.60,713.00,748.30
Glenn,29084.00,257.00,883.60,759.90,665.50,854.20
Humboldt,135884.00,1331.00,979.50,810.70,765.70,855.80
Imperial,186520.00,1087.70,583.10,590.90,555.40,626.40
Inyo,18658.00,217.70,1166.60,720.10,617.90,822.30
Kern,887922.00,5964.00,671.70,793.60,773.10,814.20
Kings,149172.00,835.70,560.20,696.20,648.40,744.10
Lake,64712.00,876.70,1354.70,946.30,879.90,1012.60
Lassen,30599.00,247.30,808.30,704.70,614.50,794.80
Los Angeles,10215103.00,62894.00,615.70,574.10,569.60,578.70
Madera,155518.00,1097.30,705.60,679.20,638.60,719.70
Marin,262706.00,1955.00,744.20,471.90,450.20,493.60
Mariposa,18057.00,201.70,1116.80,647.30,547.60,747.10
Mendocino,88779.00,861.70,970.60,727.10,676.40,777.80
Merced,272286.00,1779.30,653.50,758.80,723.10,794.50
Modoc,9506.00,111.30,1171.20,733.70,586.00,881.40
Mono,13801.00,55.30,400.90,685.80,517.10,892.00
Monterey,439945.00,2597.70,590.50,563.90,541.80,586.00
Napa,141569.00,1263.70,892.60,651.20,614.60,687.80
Nevada,98300.00,1026.00,1043.70,605.10,564.90,645.20
Orange,3179122.00,19675.70,618.90,545.90,538.20,553.70
Placer,375805.00,3224.30,858.00,595.50,574.50,616.50
Plumas,19535.00,225.00,1151.80,683.70,583.90,783.40
Riverside,2359588.00,16402.70,695.10,633.40,623.60,643.20
Sacramento,1503536.00,11551.70,768.30,730.60,717.10,744.20
San Benito,768507.00,4768.70,620.50,477.90,464.00,491.70
San Bernardino,872463.00,5790.00,663.60,508.10,494.70,521.40
San Diego,58010.00,336.70,580.40,584.70,520.80,648.60
San Francisco,3295816.00,21327.30,647.10,587.00,579.00,595.00
San Joaquin,278080.00,2428.00,873.10,609.90,584.60,635.20
San Luis Obispo,2143578.00,14037.30,654.90,748.30,735.70,761.00
San Mateo,738343.00,5500.70,745.00,776.00,755.10,796.80
Santa Barbara,1932827.00,10160.30,525.70,479.00,469.60,488.50
Santa Clara,275754.00,1752.30,635.50,586.30,558.00,614.60
Santa Cruz,447309.00,3170.30,708.80,596.90,575.70,618.20
Shasta,177631.00,2291.30,1289.90,918.00,879.00,956.90
Sierra,3141.00,34.00,1082.50,619.50,429.00,865.70
Siskiyou,44373.00,594.70,1340.20,835.20,762.50,908.00
Solano,433412.00,3294.70,760.20,681.90,658.30,705.60
Sonoma,503152.00,4150.70,824.90,605.10,586.10,624.10
Stanislaus,543592.00,4312.00,793.20,807.20,782.80,831.60
Sutter,98208.00,831.70,846.80,757.90,705.90,809.90
Tehama,64158.00,631.70,984.50,746.90,687.10,806.80
Trinity,13492.00,159.00,1178.50,723.30,596.00,850.60
Tulare,467960.00,3067.00,655.40,744.00,717.40,770.60
Tuolumne,54291.00,670.70,1235.30,716.30,657.50,775.00
Ventura,853673.00,5774.00,676.40,596.90,581.30,612.60
Yolo,216726.00,1320.30,609.20,653.90,618.20,689.60
Yuba,76138.00,652.70,857.20,922.30,850.30,994.40
